Model,Split Seed,Shuffle Seed,Max Depth,Accuracy_train,F1 Score_train,Precision_train,Recall_Train
47,42,47,4,0.9939759036144579,0.993970433329701,0.9941860465116279,0.9938271604938271
48,42,48,5,1.0,1.0,1.0,1.0
49,42,49,4,0.927710843373494,0.9276688453159041,0.9276688453159041,0.9276688453159041
50,42,50,5,0.9397590361445783,0.9396802325581395,0.9402007856831078,0.939433551198257
51,42,51,3,0.8734939759036144,0.8734526445710966,0.8734030197444831,0.8735657225853304
52,42,52,4,1.0,1.0,1.0,1.0
53,42,53,5,0.9578313253012049,0.9578175481903656,0.9602272727272727,0.9588235294117646
54,42,54,5,0.9397590361445783,0.9396802325581395,0.9402007856831078,0.939433551198257
55,42,55,5,1.0,1.0,1.0,1.0
56,42,56,3,0.8734939759036144,0.8732686225324464,0.8792596944770859,0.8750181554103122
57,42,57,3,0.9397590361445783,0.9394425798920181,0.9447635881573133,0.938562091503268
58,42,58,3,0.8614457831325302,0.8610373066424022,0.8630116959064327,0.860639070442992
59,42,59,4,0.8614457831325302,0.8610373066424022,0.8695330969267139,0.8632534495279593
60,42,60,2,0.7710843373493976,0.7683607520564042,0.7791346298808985,0.7689179375453885
61,42,61,4,0.9457831325301205,0.9456232939035487,0.947953216374269,0.9450254175744371
62,42,62,6,0.927710843373494,0.9275425578350065,0.935483870967742,0.9294117647058824
63,42,63,4,0.9156626506024096,0.9156136528685548,0.9156136528685548,0.9156136528685548
64,42,64,5,0.9759036144578314,0.9758475192783356,0.9775280898876404,0.9753086419753086
65,42,65,4,0.8614457831325302,0.8582302922282872,0.8878930817610062,0.8583151779230211
66,42,66,3,0.8614457831325302,0.8599772618916639,0.884344362745098,0.8644153957879448
67,42,67,4,0.8975903614457831,0.8972884440400364,0.8994152046783626,0.89680464778504
68,42,68,3,0.891566265060241,0.8896276595744681,0.912621359223301,0.8888888888888888
69,42,69,2,0.8192771084337349,0.818618881118881,0.8278724981467753,0.821205519244735
70,42,70,3,0.8795180722891566,0.8792375963916776,0.8865812343496833,0.8811909949164851
71,42,71,2,0.8373493975903614,0.8366320393657737,0.8477678571428571,0.8394335511982571
72,42,72,4,0.9518072289156626,0.9518002322880371,0.9518072289156627,0.9520697167755992
73,42,73,5,1.0,1.0,1.0,1.0
74,42,74,2,0.8614457831325302,0.859606545320831,0.8746969696969698,0.8591866376180102
75,42,75,3,0.9156626506024096,0.9154663174741744,0.9169706697796585,0.9150326797385621
76,42,76,4,0.8734939759036144,0.8733790999237223,0.873546511627907,0.873275236020334
77,42,77,4,0.927710843373494,0.927710843373494,0.9282498184458969,0.9282498184458969
78,42,78,5,1.0,1.0,1.0,1.0
79,42,79,2,0.7831325301204819,0.7830065359477124,0.7830065359477124,0.7830065359477124
80,42,80,5,0.9578313253012049,0.9576453435392747,0.9619565217391304,0.9567901234567902
81,42,81,4,0.9879518072289156,0.9879360465116279,0.9885057471264368,0.9876543209876543
82,42,82,2,0.7951807228915663,0.7937134502923977,0.7997034840622683,0.7936092955700799
83,42,83,4,0.9578313253012049,0.9576453435392747,0.9619565217391304,0.9567901234567902
84,42,84,5,0.9578313253012049,0.9576453435392747,0.9619565217391304,0.9567901234567902
85,42,85,4,0.8975903614457831,0.897497366604918,0.9014619883040935,0.8988380537400145
