Model,Split Seed,Shuffle Seed,Max Depth,Accuracy_train,F1 Score_train,Precision_train,Recall_Train
43,42,43,3,0.9626373626373627,0.9604931839888862,0.9556565656565656,0.9666487358795051
44,42,44,3,0.945054945054945,0.939125874312992,0.959807073954984,0.9260355029585798
45,42,45,5,0.989010989010989,0.9881597368599101,0.9914089347079038,0.985207100591716
46,42,46,2,0.9384615384615385,0.9319240798529476,0.9511679644048943,0.9195804195804196
47,42,47,4,0.9934065934065934,0.9929482510112673,0.9923632610939113,0.9935449166218397
48,42,48,6,1.0,1.0,1.0,1.0
49,42,49,4,0.9846153846153847,0.9834236316038742,0.9866419411616796,0.9805002689618074
50,42,50,3,0.978021978021978,0.9763493845642048,0.9788401253918495,0.9740451855836472
51,42,51,4,0.9956043956043956,0.9953044375644995,0.9941520467836258,0.9965034965034965
52,42,52,2,0.9472527472527472,0.9430941760120065,0.9467077065299605,0.9398870360408822
53,42,53,4,0.967032967032967,0.9649065975596587,0.962367570663067,0.9677245831091985
54,42,54,2,0.9362637362637363,0.9305982905982906,0.9392419175027871,0.9238838084991932
55,42,55,2,0.9516483516483516,0.9468277239503655,0.9623305698118174,0.9361215707369553
56,42,56,2,0.9494505494505494,0.9441643323996265,0.9627831715210355,0.9319526627218935
57,42,57,2,0.9516483516483516,0.9480981416957026,0.9492265469061876,0.9470145239376009
58,42,58,6,0.9912087912087912,0.9906309200230623,0.9884393063583815,0.993006993006993
59,42,59,4,0.9758241758241758,0.9741435870413133,0.9735810113519092,0.9747175901022055
60,42,60,4,0.9912087912087912,0.9905863367401829,0.9905863367401829,0.9905863367401829
61,42,61,5,0.9956043956043956,0.9953044375644995,0.9941520467836258,0.9965034965034965
62,42,62,3,0.9714285714285714,0.969654995511094,0.9662145650048877,0.9736417428725122
63,42,63,3,0.9516483516483516,0.9485886268386885,0.9457142857142857,0.9518558364712211
64,42,64,3,0.945054945054945,0.940646703087415,0.9449184679560105,0.9369284561592254
65,42,65,5,1.0,1.0,1.0,1.0
66,42,66,3,0.9736263736263736,0.9713211194218001,0.9798657718120805,0.9644970414201184
67,42,67,4,1.0,1.0,1.0,1.0
68,42,68,2,0.9428571428571428,0.9375184856551316,0.9488919187984244,0.9291285637439484
69,42,69,3,0.9516483516483516,0.9475630709915347,0.9541050484446711,0.9421732114039807
70,42,70,5,1.0,1.0,1.0,1.0
71,42,71,4,0.967032967032967,0.9640033544126877,0.9750830564784053,0.9556213017751479
72,42,72,4,0.9736263736263736,0.9714733542319749,0.9767820171546879,0.9669176976869285
73,42,73,2,0.9472527472527472,0.9437855201383741,0.9418070758004345,0.9459386767079074
74,42,74,4,0.9648351648351648,0.9615498373262348,0.9735099337748344,0.9526627218934911
75,42,75,3,0.9648351648351648,0.9624355005159959,0.961360266864344,0.9635556750941366
76,42,76,3,0.9538461538461539,0.9509811465948441,0.9476824698598891,0.9548144163528779
77,42,77,3,0.9582417582417583,0.9546529865034279,0.9620892468993735,0.948628294782141
78,42,78,3,0.9582417582417583,0.9548914943464354,0.9592971811401845,0.951048951048951
79,42,79,2,0.9538461538461539,0.9507547840786685,0.9492152189990961,0.9523937600860677
80,42,80,5,0.9934065934065934,0.9929649691540955,0.9912790697674418,0.9947552447552448
81,42,81,4,0.9560439560439561,0.9538595708433051,0.9473321893207758,0.96382463690156
82,42,82,4,0.9758241758241758,0.9738845493584626,0.9784687987190831,0.9698762775685852
83,42,83,6,1.0,1.0,1.0,1.0
84,42,84,2,0.9428571428571428,0.9380290838990863,0.944437361890192,0.9327595481441635
85,42,85,3,0.9494505494505494,0.9443294801070321,0.9607910027291134,0.9331629908552985
86,42,86,6,1.0,1.0,1.0,1.0
87,42,87,4,0.9648351648351648,0.9630126407348697,0.9567567567567568,0.9720279720279721
88,42,88,3,0.9538461538461539,0.9497435897435897,0.9587513935340022,0.9427111350188273
89,42,89,2,0.9472527472527472,0.941993880673126,0.9573408781857262,0.9314147391070469
90,42,90,4,0.9582417582417583,0.9551200519143412,0.9568724725893192,0.9534696073157611
91,42,91,2,0.9494505494505494,0.9441643323996265,0.9627831715210355,0.9319526627218935
92,42,92,4,0.9802197802197802,0.9788949074622866,0.9772577861779933,0.9806347498655191
93,42,93,5,1.0,1.0,1.0,1.0
94,42,94,3,0.9692307692307692,0.9671310629514964,0.9660448068528128,0.9682625067240451
95,42,95,3,0.9428571428571428,0.9386614401858304,0.9397663007318695,0.9376008606777837
96,42,96,2,0.9472527472527472,0.9430941760120065,0.9467077065299605,0.9398870360408822
97,42,97,4,0.989010989010989,0.9882186006286866,0.9888211382113821,0.9876277568585261
98,42,98,2,0.9560439560439561,0.9519372966577937,0.9636627277842704,0.943249058633674
99,42,99,4,0.989010989010989,0.9881894873458792,0.9900675365823155,0.9864174287251211
100,42,100,3,0.945054945054945,0.9416442221367192,0.9384164222873901,0.9454007530930608
