Split Seed,Shuffle Seed,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,3,5,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,6,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,7,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,8,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,9,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,10,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,11,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,12,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,13,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,14,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,15,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,16,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,17,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,18,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,19,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,3,20,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
42,4,2,0.8,0.6865978835978837,0.6773426573426573,0.793901098901099
42,4,3,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,4,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,5,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,6,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,7,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,8,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,9,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,10,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,11,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,12,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,13,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,14,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,15,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,16,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,17,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,18,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
42,4,19,0.8,0.6802503052503053,0.7117748917748917,0.7950915750915751
